Issuer_place;Issuer_Latitude;Issuer_Longitude;Vorkommen
Vilsbiburg;48,4509202;12,3525868;1
Vilseck;49,6100066;11,8062153;1
Vöcklabrück;48,00334;13,65613;1
Vohburg;48,7682249;11,6190613;1
Vohenstrauß;49,6215915;12,3413835;1
Volksmarsen;51,4073825;9,1181094;2
Wadern;49,5409429;6,889597;1
Waibstatt;49,30042;8,9197318;1
Waldenburg;49,1832843;9,6385802;1
Waldhilbersheim;49,8920517;7,8406526;1
Waldkappel;51,1456827;9,8772466;2
Waldsassen;50,0028412;12,3055734;2
Walldürn;49,5810849;9,36216;4
Wallerfangen;49,328889;6,7175;1
Waltensburg;46,7767213;9,1170754;1
Wartenfels (Thalgau);47,815278;13,305833;1
Wassertrüdingen;49,0421344;10,5980971;2
Wattenscheid;51,4686409;7,1454673;1
Wehr;50,42311484;7,209680835;1
Weiden;49,6743636;12,1489337;1
Weil der Stadt;48,7535937;8,8727422;1
Weilbach;;;1
Weiler b. Bingen;49,9575366;7,8645896;1
Weinheim;49,544964;8,6602704;1
Weißenburg;49,0272089;10,9710237;1
Wellmich;50,1714021;7,6926486;1
Wels;48,1575;14,026667;2
Wemding;48,8744277;10,7236307;1
Werdenfels;47,516342;11,09204;1
Werl;51,5583773;7,9114426;1
Werne;51,665041;7,631431;1
Wertheim;49,758889;9,5175;1
Wetzlar;50,5589802;8,5081645;3
Wicker (Flörsheim a. Main);50,028127;8,404267;1
Wiedenbrück;51,8458575;8,2997425;1
Wien;48,2081743;16,373819;8
Wiesbaden;50,0782184;8,2397608;2
Wiesentheid;49,794444;10,343056;1
Wildenburg;48,7292592;11,8975593;1
Willantzheim;49,6809197;10,2314271;1
Wiltz;49,96622;5,9324306;1
Winkel (Rheingau);49,998698;8,008518;1
Winkl;;;1
Winklarn (Oberpfalz);49,427222;12,483889;1
Wismar;53,8979416;11,4516022;1
Wittlich;49,986944;6,889722;3
Wolfegg;47,8180653;9,7948066;1
Wolfratshausen;47,9102296;11,4274164;1
Wolfsrams-Eschenbach;49,22675;10,72769;1
Wolfsried;47,5816926;10,0076853;1
Worbis;51,4071434;10,3305838;3
Worms;49,63278;8,35916;9
Worms-Hochheim;49,63907;8,33489;1
Wörrstadt;49,8423554;8,1160636;1
Würzburg;49,7913044;9,9533548;27
Zeilern;48,1297062;14,8088587;1
Zell (Mosel);50,0324264;7,1964981;1
Znojmo;48,8559107;16,0542676;1
Zündorf;50,8673879;7,0512309;1
Zwettl;48,59218;15,2634301;1
Zwiesel;49,0177574;13,2379307;1
